1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
受注番号,納品先コード,納品先名,商品コード,商品名,Brand,NWA,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,BULK,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,現在庫,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷指示数,出荷予定日
,,,,,,NWA,納品先BULK,201050,201127,201223,201236,201268,201499,201549,201684,201703,201716,201720,201738,201762,,,,,,,,201050,201127,201223,201236,201268,201499,201549,201684,201703,201716,201720,201738,201762,,,,,,,,201050,201127,201223,201236,201268,201499,201549,201684,201703,201716,201720,201738,201762,,,,,,,,
,,,,,,NWA,納品先BULK,ZOZO,名古屋,丸井web,YSEC,TOKYO,ルクア大阪,ヒュッテ,京王新宿,6142,玉川高島屋,NODE,大丸心斎橋,NARITA,,,,,,,,ZOZO,名古屋,丸井web,YSEC,TOKYO,ルクア大阪,ヒュッテ,京王新宿,6142,玉川高島屋,NODE,大丸心斎橋,NARITA,,,,,,,,ZOZO,名古屋,丸井web,YSEC,TOKYO,ルクア大阪,ヒュッテ,京王新宿,6142,玉川高島屋,NODE,大丸心斎橋,NARITA,,,,,,,,
,,,12100003210L/XL,Varmland Cap,FRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,20260706
,,,12100003210S/M,Varmland Cap,FRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,0,1,1,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,20260706
,,,12100003625L/XL,Varmland Cap,FRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,0,2,0,1,0,0,0,2,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,20260706
,,,12100003625S/M,Varmland Cap,FRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,2,0,0,0,2,2,2,0,2,0,1,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,20260706
,,,12100003662L/XL,Varmland Cap,FRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,20260706
,,,12100003662S/M,Varmland Cap,FRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,0,1,2,1,0,1,0,2,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,20260706
,,,12100004113L/XL,High Coast Wind Cap,FRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,1,0,0,1,0,1,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,20260706
