伝票番号,明細番号,売上返品区分,請求先コード,請求先名,納品先コード,納品先名,売上日付,売上拠点コード,売上拠点名,商品コード,ブランド名,StyleNo,商品名,ColorNo,ColorName,Size,標準単価,販売数量,標準税額,税率,税区分,税計算区分,明細備考,入力単価,在庫拠点コード,在庫拠点名,販売合計,販売税額合計(単品),販売税込合計(単品),標準合計,標準税額合計(単品),標準税込合計(単品),原価合計
90590,1,返品,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260703,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23510457X,FJALLRAVEN,23510,Kanken,457,Pastel Lavender,X,13000,-10,1300,10,0,0,,8710,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,-8710,-871,-9581,-13000,-1300,-14300,-5299
90589,1,売上,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260702,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23510457X,FJALLRAVEN,23510,Kanken,457,Pastel Lavender,X,13000,10,1300,10,0,0,,8710,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,8710,871,9581,13000,1300,14300,5299
90589,2,売上,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260702,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23510312X,FJALLRAVEN,23510,Kanken,312,Pink,X,13000,10,1300,10,0,0,,8710,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,8710,871,9581,13000,1300,14300,5299
90589,3,売上,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260702,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23166550X,FJALLRAVEN,23166,Ulvo Hip Pack Large,550,Black,X,10000,10,1000,10,0,0,,6700,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,6700,670,7370,10000,1000,11000,3917
90588,1,売上,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260701,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23565633X,FJALLRAVEN,23565,Kanken No.2,633,Dark Olive,X,20000,10,2000,10,0,0,,13400,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,13400,1340,14740,20000,2000,22000,7645
90588,2,売上,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260701,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23524424X,FJALLRAVEN,23524,Kanken Laptop 15,424,Blackberry,X,18000,10,1800,10,0,0,,12060,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,12060,1206,13266,18000,1800,19800,6678
90588,3,売上,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260701,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23561326X,FJALLRAVEN,23561,Kanken Mini,326,Ox Red,X,12000,10,1200,10,0,0,,8040,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,8040,804,8844,12000,1200,13200,4601
90496,1,返品,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260630,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23510501X,FJALLRAVEN,23510,Kanken,501,Sky blue,X,13000,-10,1300,10,0,0,,8710,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,-8710,-871,-9581,-13000,-1300,-14300,-5299
90496,2,返品,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260630,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23505560X,FJALLRAVEN,23505,Kanken Shoulder Pads,560,Navy,X,3500,-10,350,10,0,0,,2345,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,-2345,-235,-2580,-3500,-350,-3850,-1121
90496,3,返品,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260630,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23346662X,FJALLRAVEN,23346,Skule 28,662,Deep Forest,X,14000,-10,1400,10,0,0,,9380,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,-9380,-938,-10318,-14000,-1400,-15400,-5032
90495,1,売上,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260630,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23525160X,FJALLRAVEN,23525,Kanken Laptop 17,160,Ochre,X,19000,10,1900,10,0,0,,12730,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,12730,1273,14003,19000,1900,20900,7927
90495,2,売上,201223,丸井ウェブチャンネル,201223,丸井ウェブチャンネル,20260630,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,23510126X,FJALLRAVEN,23510,Kanken,126,Corn,X,13000,10,1300,10,0,0,,8710,240,丸井ｳｪﾌﾞﾁｬﾝﾈﾙ,8710,871,9581,13000,1300,14300,5299
