伝票番号,明細番号,売上返品区分,請求先コード,請求先名,納品先コード,納品先名,売上日付,売上拠点コード,売上拠点名,商品コード,ブランド名,StyleNo,商品名,ColorNo,ColorName,Size,標準単価,販売数量,標準税額,税率,税区分,税計算区分,明細備考,入力単価,在庫拠点コード,在庫拠点名,販売合計,販売税額合計(単品),販売税込合計(単品),標準合計,標準税額合計(単品),標準税込合計(単品),原価合計
90596,1,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23510550X,FJALLRAVEN,23510,Kanken,550,Black,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90596,2,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23510501X,FJALLRAVEN,23510,Kanken,501,Sky blue,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90596,3,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23510600X,FJALLRAVEN,23510,Kanken,600,Mint Green,X,13000,2,1300,10,0,0,,8450,220,ZOZO,16900,1690,18590,26000,2600,28600,10598.00
90596,4,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23510540X,FJALLRAVEN,23510,Kanken,540,Royal Blue,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90596,5,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,24213633X,FJALLRAVEN,24213,Gear Bag,633,Dark Olive,X,4300,1,430,10,0,0,,2795,220,ZOZO,2795,280,3075,4300,430,4730,1625.00
90596,6,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23797560X,FJALLRAVEN,23797,Kanken Sling,560,NAVY,X,10500,1,1050,10,0,0,,6825,220,ZOZO,6825,683,7508,10500,1050,11550,3729.00
90596,7,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23797550X,FJALLRAVEN,23797,Kanken Sling,550,Black,X,10500,1,1050,10,0,0,,6825,220,ZOZO,6825,683,7508,10500,1050,11550,3729.00
90596,8,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23710550X,FJALLRAVEN,23710,Kanken Totepack,550,Black,X,15000,1,1500,10,0,0,,9750,220,ZOZO,9750,975,10725,15000,1500,16500,5484.00
90596,9,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23525424X,FJALLRAVEN,23525,Kanken Laptop 17,424,Blackberry,X,19000,1,1900,10,0,0,,12350,220,ZOZO,12350,1235,13585,19000,1900,20900,7967.00
90596,10,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23345550-550X,FJALLRAVEN,23345,Raven 28,550-550,Black-Black,X,19000,1,1900,10,0,0,,12350,220,ZOZO,12350,1235,13585,19000,1900,20900,7409.00
90596,11,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260704,220,ZOZO,23803238X,FJALLRAVEN,23803,Kanken no. 2 Laptop 15,238,Hazel Brown,X,24000,1,2400,10,0,0,,15600,220,ZOZO,15600,1560,17160,24000,2400,26400,8317.00
90594,1,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,23510031X,FJALLRAVEN,23510,Kanken,031,Graphite,X,13000,2,1300,10,0,0,,8450,220,ZOZO,16900,1690,18590,26000,2600,28600,10598.00
90594,2,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,23510312X,FJALLRAVEN,23510,Kanken,312,Pink,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90594,3,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,23510457X,FJALLRAVEN,23510,Kanken,457,Pastel Lavender,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90594,4,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,23510501-115X,FJALLRAVEN,23510,Kanken,501-115,Sky Blue-Light Oak,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90594,5,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,23510560X,FJALLRAVEN,23510,Kanken,560,Navy,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90594,6,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,23510540X,FJALLRAVEN,23510,Kanken,540,Royal Blue,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90594,7,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,24220560X,FJALLRAVEN,24220,Passport Wallet,560,Navy,X,7300,1,730,10,0,0,,4745,220,ZOZO,4745,475,5220,7300,730,8030,2629.00
90594,8,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,23796424X,FJALLRAVEN,23796,Kanken Hip Pack,424,Blackberry,X,8000,1,800,10,0,0,,5200,220,ZOZO,5200,520,5720,8000,800,8800,2582.00
90594,9,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,23226560X,FJALLRAVEN,23226,High Coast Pocket,560,Navy,X,5000,1,500,10,0,0,,3250,220,ZOZO,3250,325,3575,5000,500,5500,2305.00
90594,10,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260703,220,ZOZO,77404550X,FJALLRAVEN,77404,Bergtagen Cap,550,Black,X,7500,1,750,10,0,0,,4875,220,ZOZO,4875,488,5363,7500,750,8250,2537.00
90593,1,返品,201050,株式会社ZOZO,201050,ZOZO BASE,20260702,220,ZOZO,23561021-312X,FJALLRAVEN,23561,Kanken Mini,021-312,Fog-Pink,X,12000,-1,1200,10,0,0,,7800,220,ZOZO,-7800,-780,-8580,-12000,-1200,-13200,-4601.00
90592,1,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260702,220,ZOZO,23510501-115X,FJALLRAVEN,23510,Kanken,501-115,Sky Blue-Light Oak,X,13000,1,1300,10,0,0,,8450,220,ZOZO,8450,845,9295,13000,1300,14300,5299.00
90592,2,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260702,220,ZOZO,23565238X,FJALLRAVEN,23565,Kanken No.2,238,Hazel Brown,X,20000,1,2000,10,0,0,,13000,220,ZOZO,13000,1300,14300,20000,2000,22000,7645.00
90592,3,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260702,220,ZOZO,23565633X,FJALLRAVEN,23565,Kanken No.2,633,Dark Olive,X,20000,1,2000,10,0,0,,13000,220,ZOZO,13000,1300,14300,20000,2000,22000,7645.00
90592,4,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260702,220,ZOZO,23797312X,FJALLRAVEN,23797,Kanken Sling,312,PINK,X,10500,1,1050,10,0,0,,6825,220,ZOZO,6825,683,7508,10500,1050,11550,3729.00
90592,5,売上,201050,株式会社ZOZO,201050,ZOZO BASE,20260702,220,ZOZO,23797664-319X,FJALLRAVEN,23797,Kanken Sling,664-319,Frost Green-Peach Pink,X,10500,1,1050,10,0,0,,6825,220,ZOZO,6825,683,7508,10500,1050,11550,3729.00
