処理番号,営業日付,店舗名称,3rd Item No.,表記部門名1,StyleNo,商品名,ColorNo,ColorName,Size,数量,税抜単価,税単価,税込単価,税抜金額,税額,税込金額,上代,金種名,調整値引,客層名,拡張名,販売者,会員フラグ,会員番号
449283,2026/06/29,FJALLRAVEN by 3NITY玉川高島屋S・C,23505326X,FJALLRAVEN,23505,Kanken Shoulder Pads,326,Ox Red,X,1,"3,150",315,"3,465","3,150",315,"3,465","3,500",複数金種,,男性,IV,小林,1,143349
449284,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,23797031X,FJALLRAVEN,23797,Kanken Sling,031,GRAPHITE,X,1,"10,500","1,050","11,550","10,500","1,050","11,550","10,500",複数金種,,女性,IV,志良堂,1,143710
449284,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,RP010,Other,RP010,ショッパー(S),,,X,1,50,5,55,50,5,55,50,複数金種,,女性,IV,志良堂,1,143710
449285,2026/06/29,FJALLRAVEN by 3NITY 京王新宿,23200339620-221X,FJALLRAVEN,23200339,Vardag Pocket Large,620-221,Green-Clay,X,1,"9,000",900,"9,900","9,000",900,"9,900","9,000",現金,,女性,VI,高橋,0,
449286,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,23226623X,FJALLRAVEN,23226,High Coast Pocket,623,Mountain Green,X,1,"5,000",500,"5,500","5,000",500,"5,500","5,000",カード,,男性,V,志良堂,1,143711
449287,2026/06/29,FJALLRAVEN by 3NITY 京王新宿,23223016X,FJALLRAVEN,23223,High Coast Hip Pack,016,Shark Grey,X,1,"6,500",650,"7,150","6,500",650,"7,150","6,500",現金,,女性,VI,高橋,0,
449289,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,7728124985,FJALLRAVEN,77281,Singi Belt 4 cm,249,Leather Cognac,85,1,"9,500",950,"10,450","9,500",950,"10,450","10,500",電子マネー,,女性,II,志良堂,1,112781
449289,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,GIFT300,Other,GIFT300,Gift Wrapping (S),,,X,1,300,30,330,300,30,330,300,電子マネー,,女性,II,志良堂,1,112781
449289,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,RP010,Other,RP010,ショッパー(S),,,X,1,50,5,55,50,5,55,50,電子マネー,,女性,II,志良堂,1,112781
449290,2026/06/29,FJALLRAVEN by 3NITY 京王新宿,87153300S,FJALLRAVEN,87153,Fox Boxy Logo Tee W,300,Dusty Rose,S,1,"6,500",650,"7,150","6,500",650,"7,150","6,500",現金,,女性,VI,高橋,0,
